rownames,sepal-length,sepal-width,petal-length,petal-width,species,relative-time
1,5.1,3.5,1.4,0.2,setosa,Past
2,4.9,3.0,1.4,0.2,setosa,Past
3,4.7,3.2,1.3,0.2,setosa,Past
4,4.6,3.1,1.5,0.2,setosa,Past
5,5.0,3.6,1.4,0.2,setosa,Past
6,5.4,3.9,1.7,0.4,setosa,Past
7,4.6,3.4,1.4,0.3,setosa,Past
8,5.0,3.4,1.5,0.2,setosa,Past
9,4.4,2.9,1.4,0.2,setosa,Past
10,4.9,3.1,1.5,0.1,setosa,Past
11,5.4,3.7,1.5,0.2,setosa,Past
12,4.8,3.4,1.6,0.2,setosa,Past
13,4.8,3.0,1.4,0.1,setosa,Past
14,4.3,3.0,1.1,0.1,setosa,Past
15,5.8,4.0,1.2,0.2,setosa,Past
16,5.7,4.4,1.5,0.4,setosa,Past
17,5.4,3.9,1.3,0.4,setosa,Past
18,5.1,3.5,1.4,0.3,setosa,Past
19,5.7,3.8,1.7,0.3,setosa,Past
20,5.1,3.8,1.5,0.3,setosa,Past
21,5.4,3.4,1.7,0.2,setosa,Past
22,5.1,3.7,1.5,0.4,setosa,Past
23,4.6,3.6,1.0,0.2,setosa,Past
24,5.1,3.3,1.7,0.5,setosa,Past
25,4.8,3.4,1.9,0.2,setosa,Past
26,5.0,3.0,1.6,0.2,setosa,Past
27,5.0,3.4,1.6,0.4,setosa,Past
28,5.2,3.5,1.5,0.2,setosa,Past
29,5.2,3.4,1.4,0.2,setosa,Past
30,4.7,3.2,1.6,0.2,setosa,Past
31,4.8,3.1,1.6,0.2,setosa,Past
32,5.4,3.4,1.5,0.4,setosa,Past
33,5.2,4.1,1.5,0.1,setosa,Past
34,5.5,4.2,1.4,0.2,setosa,Past
35,4.9,3.1,1.5,0.2,setosa,Past
36,5.0,3.2,1.2,0.2,setosa,Past
37,5.5,3.5,1.3,0.2,setosa,Past
38,4.9,3.6,1.4,0.1,setosa,Past
39,4.4,3.0,1.3,0.2,setosa,Past
40,5.1,3.4,1.5,0.2,setosa,Past
41,5.0,3.5,1.3,0.3,setosa,Past
42,4.5,2.3,1.3,0.3,setosa,Past
43,4.4,3.2,1.3,0.2,setosa,Past
44,5.0,3.5,1.6,0.6,setosa,Past
45,5.1,3.8,1.9,0.4,setosa,Past
46,4.8,3.0,1.4,0.3,setosa,Past
47,5.1,3.8,1.6,0.2,setosa,Past
48,4.6,3.2,1.4,0.2,setosa,Past
49,5.3,3.7,1.5,0.2,setosa,Past
50,5.0,3.3,1.4,0.2,setosa,Past
51,7.0,3.2,4.7,1.4,versicolor,Past
52,6.4,3.2,4.5,1.5,versicolor,Past
53,6.9,3.1,4.9,1.5,versicolor,Past
54,5.5,2.3,4.0,1.3,versicolor,Past
55,6.5,2.8,4.6,1.5,versicolor,Past
56,5.7,2.8,4.5,1.3,versicolor,Past
57,6.3,3.3,4.7,1.6,versicolor,Past
58,4.9,2.4,3.3,1.0,versicolor,Past
59,6.6,2.9,4.6,1.3,versicolor,Past
60,5.2,2.7,3.9,1.4,versicolor,Past
61,5.0,2.0,3.5,1.0,versicolor,Past
62,5.9,3.0,4.2,1.5,versicolor,Past
63,6.0,2.2,4.0,1.0,versicolor,Past
64,6.1,2.9,4.7,1.4,versicolor,Past
65,5.6,2.9,3.6,1.3,versicolor,Past
66,6.7,3.1,4.4,1.4,versicolor,Past
67,5.6,3.0,4.5,1.5,versicolor,Past
68,5.8,2.7,4.1,1.0,versicolor,Past
69,6.2,2.2,4.5,1.5,versicolor,Past
70,5.6,2.5,3.9,1.1,versicolor,Past
71,5.9,3.2,4.8,1.8,versicolor,Past
72,6.1,2.8,4.0,1.3,versicolor,Past
73,6.3,2.5,4.9,1.5,versicolor,Past
74,6.1,2.8,4.7,1.2,versicolor,Past
75,6.4,2.9,4.3,1.3,versicolor,Past
76,6.6,3.0,4.4,1.4,versicolor,Past
77,6.8,2.8,4.8,1.4,versicolor,Past
78,6.7,3.0,5.0,1.7,versicolor,Past
79,6.0,2.9,4.5,1.5,versicolor,Past
80,5.7,2.6,3.5,1.0,versicolor,Past
81,5.5,2.4,3.8,1.1,versicolor,Past
82,5.5,2.4,3.7,1.0,versicolor,Past
83,5.8,2.7,3.9,1.2,versicolor,Past
84,6.0,2.7,5.1,1.6,versicolor,Past
85,5.4,3.0,4.5,1.5,versicolor,Past
86,6.0,3.4,4.5,1.6,versicolor,Past
87,6.7,3.1,4.7,1.5,versicolor,Past
88,6.3,2.3,4.4,1.3,versicolor,Past
89,5.6,3.0,4.1,1.3,versicolor,Past
90,5.5,2.5,4.0,1.3,versicolor,Past
91,5.5,2.6,4.4,1.2,versicolor,Past
92,6.1,3.0,4.6,1.4,versicolor,Past
93,5.8,2.6,4.0,1.2,versicolor,Past
94,5.0,2.3,3.3,1.0,versicolor,Past
95,5.6,2.7,4.2,1.3,versicolor,Past
96,5.7,3.0,4.2,1.2,versicolor,Past
97,5.7,2.9,4.2,1.3,versicolor,Past
98,6.2,2.9,4.3,1.3,versicolor,Past
99,5.1,2.5,3.0,1.1,versicolor,Past
100,5.7,2.8,4.1,1.3,versicolor,Past
101,6.3,3.3,6.0,2.5,virginica,Past
102,5.8,2.7,5.1,1.9,virginica,Past
103,7.1,3.0,5.9,2.1,virginica,Past
104,6.3,2.9,5.6,1.8,virginica,Past
105,6.5,3.0,5.8,2.2,virginica,Past
106,7.6,3.0,6.6,2.1,virginica,Past
107,4.9,2.5,4.5,1.7,virginica,Past
108,7.3,2.9,6.3,1.8,virginica,Past
109,6.7,2.5,5.8,1.8,virginica,Past
110,7.2,3.6,6.1,2.5,virginica,Past
111,6.5,3.2,5.1,2.0,virginica,Past
112,6.4,2.7,5.3,1.9,virginica,Past
113,6.8,3.0,5.5,2.1,virginica,Past
114,5.7,2.5,5.0,2.0,virginica,Past
115,5.8,2.8,5.1,2.4,virginica,Past
116,6.4,3.2,5.3,2.3,virginica,Past
117,6.5,3.0,5.5,1.8,virginica,Past
118,7.7,3.8,6.7,2.2,virginica,Past
119,7.7,2.6,6.9,2.3,virginica,Past
120,6.0,2.2,5.0,1.5,virginica,Past
121,6.9,3.2,5.7,2.3,virginica,Past
122,5.6,2.8,4.9,2.0,virginica,Past
123,7.7,2.8,6.7,2.0,virginica,Past
124,6.3,2.7,4.9,1.8,virginica,Past
125,6.7,3.3,5.7,2.1,virginica,Past
126,7.2,3.2,6.0,1.8,virginica,Past
127,6.2,2.8,4.8,1.8,virginica,Past
128,6.1,3.0,4.9,1.8,virginica,Past
129,6.4,2.8,5.6,2.1,virginica,Past
130,7.2,3.0,5.8,1.6,virginica,Past
131,7.4,2.8,6.1,1.9,virginica,Past
132,7.9,3.8,6.4,2.0,virginica,Past
133,6.4,2.8,5.6,2.2,virginica,Past
134,6.3,2.8,5.1,1.5,virginica,Past
135,6.1,2.6,5.6,1.4,virginica,Past
136,7.7,3.0,6.1,2.3,virginica,Past
137,6.3,3.4,5.6,2.4,virginica,Past
138,6.4,3.1,5.5,1.8,virginica,Past
139,6.0,3.0,4.8,1.8,virginica,Past
140,6.9,3.1,5.4,2.1,virginica,Past
141,6.7,3.1,5.6,2.4,virginica,Past
142,6.9,3.1,5.1,2.3,virginica,Past
143,5.8,2.7,5.1,1.9,virginica,Past
144,6.8,3.2,5.9,2.3,virginica,Past
145,6.7,3.3,5.7,2.5,virginica,Past
146,6.7,3.0,5.2,2.3,virginica,Past
147,6.3,2.5,5.0,1.9,virginica,Past
148,6.5,3.0,5.2,2.0,virginica,Past
149,6.2,3.4,5.4,2.3,virginica,Past
150,5.9,3.0,5.1,1.8,virginica,Past
,,4.0,,,,Future
,,5.0,,,,Future
,,6.0,,,,Future
,,7.0,,,,Future
,,8.0,,,,Future
,,9.0,,,,Future
