rownames,date,variable,value,value01
575,1967-07-01,pop,198712.0,0.0
576,1967-08-01,pop,198911.0,0.0016352988543581065
577,1967-09-01,pop,199113.0,0.0032952504552643254
578,1967-10-01,pop,199311.0,0.004922331727439728
579,1967-11-01,pop,199498.0,0.006459019595605386
580,1967-12-01,pop,199657.0,0.00776561516265533
581,1968-01-01,pop,199808.0,0.009006470072243642
582,1968-02-01,pop,199920.0,0.009926839276706496
583,1968-03-01,pop,200056.0,0.011044430453554247
584,1968-04-01,pop,200208.0,0.012293502945325264
585,1968-05-01,pop,200361.0,0.013550793019278983
586,1968-06-01,pop,200536.0,0.014988869901252193
587,1968-07-01,pop,200706.0,0.016385858872311882
588,1968-08-01,pop,200898.0,0.017963634651391062
589,1968-09-01,pop,201095.0,0.01958249834138376
590,1968-10-01,pop,201290.0,0.02118492686701105
591,1968-11-01,pop,201466.0,0.022631221331166962
592,1968-12-01,pop,201621.0,0.02390494656948609
593,1969-01-01,pop,201760.0,0.025047190492881954
594,1969-02-01,pop,201881.0,0.026041517936989146
595,1969-03-01,pop,202023.0,0.02720841460693312
596,1969-04-01,pop,202161.0,0.02834244094814628
597,1969-05-01,pop,202331.0,0.02973942991920597
598,1969-06-01,pop,202507.0,0.031185724383361882
599,1969-07-01,pop,202677.0,0.03258271335442157
600,1969-08-01,pop,202877.0,0.03422622979096238
601,1969-09-01,pop,203090.0,0.03597657479587835
602,1969-10-01,pop,203302.0,0.0377187022186116
603,1969-11-01,pop,203500.0,0.039345783490787004
604,1969-12-01,pop,203675.0,0.04078386037276022
605,1970-01-01,pop,203849.0,0.04221371967255072
606,1970-02-01,pop,204008.0,0.04352031523960066
607,1970-03-01,pop,204156.0,0.04473651740264087
608,1970-04-01,pop,204401.0,0.04674982503740336
609,1970-05-01,pop,204607.0,0.04844264696704039
610,1970-06-01,pop,204830.0,0.050275167793783396
611,1970-07-01,pop,205052.0,0.0520994710383437
612,1970-08-01,pop,205295.0,0.054096343508740784
613,1970-09-01,pop,205540.0,0.056109651143503275
614,1970-10-01,pop,205788.0,0.05814761152481388
615,1970-11-01,pop,206024.0,0.060086960919932035
616,1970-12-01,pop,206238.0,0.0618455235070307
617,1971-01-01,pop,206466.0,0.06371913224468723
618,1971-02-01,pop,206668.0,0.06537908384559345
619,1971-03-01,pop,206855.0,0.0669157717137591
620,1971-04-01,pop,207065.0,0.06864146397212696
621,1971-05-01,pop,207260.0,0.07024389249775424
622,1971-06-01,pop,207462.0,0.07190384409866046
623,1971-07-01,pop,207661.0,0.07353914295301857
624,1971-08-01,pop,207881.0,0.07534701103321347
625,1971-09-01,pop,208114.0,0.0772617076817835
