rownames,date,variable,value,value01
2297,1967-07-01,unemploy,2944.0,0.020446830346569828
2298,1967-08-01,unemploy,2945.0,0.020525775637483226
2299,1967-09-01,unemploy,2958.0,0.021552064419357385
2300,1967-10-01,unemploy,3143.0,0.036156943238335834
2301,1967-11-01,unemploy,3066.0,0.030078155838004262
2302,1967-12-01,unemploy,3018.0,0.026288781874161206
2303,1968-01-01,unemploy,2878.0,0.015236441146285624
2304,1968-02-01,unemploy,3001.0,0.024946711928633458
2305,1968-03-01,unemploy,2877.0,0.015157495855372228
2306,1968-04-01,unemploy,2709.0,0.0018946869819215285
2307,1968-05-01,unemploy,2740.0,0.004341991000236836
2308,1968-06-01,unemploy,2938.0,0.019973158601089443
2309,1968-07-01,unemploy,2883.0,0.01563116760085261
2310,1968-08-01,unemploy,2768.0,0.006552459145811952
2311,1968-09-01,unemploy,2686.0,7.894529091339702E-5
2312,1968-10-01,unemploy,2689.0,3.157811636535881E-4
2313,1968-11-01,unemploy,2715.0,0.0023683587274019105
2314,1968-12-01,unemploy,2685.0,0.0
2315,1969-01-01,unemploy,2718.0,0.0026051946001421017
2316,1969-02-01,unemploy,2692.0,5.526170363937791E-4
2317,1969-03-01,unemploy,2712.0,0.0021315228546617193
2318,1969-04-01,unemploy,2758.0,0.005763006236677982
2319,1969-05-01,unemploy,2713.0,0.0022104681455751164
2320,1969-06-01,unemploy,2816.0,0.010341833109655009
2321,1969-07-01,unemploy,2868.0,0.014446988237151653
2322,1969-08-01,unemploy,2856.0,0.01349964474619089
2323,1969-09-01,unemploy,3040.0,0.02802557827425594
2324,1969-10-01,unemploy,3049.0,0.028736085892476514
2325,1969-11-01,unemploy,2856.0,0.01349964474619089
2326,1969-12-01,unemploy,2884.0,0.015710112891766007
2327,1970-01-01,unemploy,3201.0,0.04073577011131286
2328,1970-02-01,unemploy,3453.0,0.06062998342148891
2329,1970-03-01,unemploy,3635.0,0.07499802636772716
2330,1970-04-01,unemploy,3797.0,0.08778716349569748
2331,1970-05-01,unemploy,3919.0,0.09741848898713192
2332,1970-06-01,unemploy,4071.0,0.10941817320596826
2333,1970-07-01,unemploy,4175.0,0.11762848346096155
2334,1970-08-01,unemploy,4256.0,0.1240230520249467
2335,1970-09-01,unemploy,4456.0,0.13981211020762613
2336,1970-10-01,unemploy,4591.0,0.1504697244809347
2337,1970-11-01,unemploy,4898.0,0.1747059287913476
2338,1970-12-01,unemploy,5076.0,0.18875819057393226
2339,1971-01-01,unemploy,4986.0,0.18165311439172654
2340,1971-02-01,unemploy,4903.0,0.1751006552459146
2341,1971-03-01,unemploy,4987.0,0.18173205968263992
2342,1971-04-01,unemploy,4959.0,0.17952159153706482
2343,1971-05-01,unemploy,4996.0,0.1824425673008605
2344,1971-06-01,unemploy,4949.0,0.17873213862793083
2345,1971-07-01,unemploy,5035.0,0.185521433646483
2346,1971-08-01,unemploy,5134.0,0.1933370174469093
2347,1971-09-01,unemploy,5042.0,0.18607405068287677
2348,1971-10-01,unemploy,4954.0,0.17912686508249784
2349,1971-11-01,unemploy,5161.0,0.19546854030157101
2350,1971-12-01,unemploy,5154.0,0.19491592326517723
