rownames,date,variable,value,value01,relative-time,year,month,yearmonth
2297,1967-07-01,unemploy,2944.0,0.020446830346569828,Past,1967,7,23611
2298,1967-08-01,unemploy,2945.0,0.020525775637483226,Past,1967,8,23612
2299,1967-09-01,unemploy,2958.0,0.021552064419357385,Past,1967,9,23613
2300,1967-10-01,unemploy,3143.0,0.036156943238335834,Past,1967,10,23614
2301,1967-11-01,unemploy,3066.0,0.030078155838004262,Past,1967,11,23615
2302,1967-12-01,unemploy,3018.0,0.026288781874161206,Past,1967,12,23616
2303,1968-01-01,unemploy,2878.0,0.015236441146285624,Past,1968,1,23617
2304,1968-02-01,unemploy,3001.0,0.024946711928633458,Past,1968,2,23618
2305,1968-03-01,unemploy,2877.0,0.015157495855372228,Past,1968,3,23619
2306,1968-04-01,unemploy,2709.0,0.0018946869819215285,Past,1968,4,23620
2307,1968-05-01,unemploy,2740.0,0.004341991000236836,Past,1968,5,23621
2308,1968-06-01,unemploy,2938.0,0.019973158601089443,Past,1968,6,23622
2309,1968-07-01,unemploy,2883.0,0.01563116760085261,Past,1968,7,23623
2310,1968-08-01,unemploy,2768.0,0.006552459145811952,Past,1968,8,23624
2311,1968-09-01,unemploy,2686.0,7.894529091339702E-5,Past,1968,9,23625
2312,1968-10-01,unemploy,2689.0,3.157811636535881E-4,Past,1968,10,23626
2313,1968-11-01,unemploy,2715.0,0.0023683587274019105,Past,1968,11,23627
2314,1968-12-01,unemploy,2685.0,0.0,Past,1968,12,23628
2315,1969-01-01,unemploy,2718.0,0.0026051946001421017,Past,1969,1,23629
2316,1969-02-01,unemploy,2692.0,5.526170363937791E-4,Past,1969,2,23630
2317,1969-03-01,unemploy,2712.0,0.0021315228546617193,Past,1969,3,23631
2318,1969-04-01,unemploy,2758.0,0.005763006236677982,Past,1969,4,23632
2319,1969-05-01,unemploy,2713.0,0.0022104681455751164,Past,1969,5,23633
2320,1969-06-01,unemploy,2816.0,0.010341833109655009,Past,1969,6,23634
2321,1969-07-01,unemploy,2868.0,0.014446988237151653,Past,1969,7,23635
2322,1969-08-01,unemploy,2856.0,0.01349964474619089,Past,1969,8,23636
2323,1969-09-01,unemploy,3040.0,0.02802557827425594,Past,1969,9,23637
2324,1969-10-01,unemploy,3049.0,0.028736085892476514,Past,1969,10,23638
2325,1969-11-01,unemploy,2856.0,0.01349964474619089,Past,1969,11,23639
2326,1969-12-01,unemploy,2884.0,0.015710112891766007,Past,1969,12,23640
2327,1970-01-01,unemploy,3201.0,0.04073577011131286,Past,1970,1,23641
2328,1970-02-01,unemploy,3453.0,0.06062998342148891,Past,1970,2,23642
2329,1970-03-01,unemploy,3635.0,0.07499802636772716,Past,1970,3,23643
2330,1970-04-01,unemploy,3797.0,0.08778716349569748,Past,1970,4,23644
2331,1970-05-01,unemploy,3919.0,0.09741848898713192,Past,1970,5,23645
2332,1970-06-01,unemploy,4071.0,0.10941817320596826,Past,1970,6,23646
2333,1970-07-01,unemploy,4175.0,0.11762848346096155,Past,1970,7,23647
2334,1970-08-01,unemploy,4256.0,0.1240230520249467,Past,1970,8,23648
2335,1970-09-01,unemploy,4456.0,0.13981211020762613,Past,1970,9,23649
2336,1970-10-01,unemploy,4591.0,0.1504697244809347,Past,1970,10,23650
2337,1970-11-01,unemploy,4898.0,0.1747059287913476,Past,1970,11,23651
2338,1970-12-01,unemploy,5076.0,0.18875819057393226,Past,1970,12,23652
2339,1971-01-01,unemploy,4986.0,0.18165311439172654,Past,1971,1,23653
2340,1971-02-01,unemploy,4903.0,0.1751006552459146,Past,1971,2,23654
2341,1971-03-01,unemploy,4987.0,0.18173205968263992,Past,1971,3,23655
2342,1971-04-01,unemploy,4959.0,0.17952159153706482,Past,1971,4,23656
2343,1971-05-01,unemploy,4996.0,0.1824425673008605,Past,1971,5,23657
2344,1971-06-01,unemploy,4949.0,0.17873213862793083,Past,1971,6,23658
2345,1971-07-01,unemploy,5035.0,0.185521433646483,Past,1971,7,23659
2346,1971-08-01,unemploy,5134.0,0.1933370174469093,Past,1971,8,23660
2347,1971-09-01,unemploy,5042.0,0.18607405068287677,Past,1971,9,23661
2348,1971-10-01,unemploy,4954.0,0.17912686508249784,Past,1971,10,23662
2349,1971-11-01,unemploy,5161.0,0.19546854030157101,Past,1971,11,23663
2350,1971-12-01,unemploy,5154.0,0.19491592326517723,Past,1971,12,23664
2351,1972-01-01,unemploy,5019.0,0.18425830899186862,Past,1972,1,23665
2352,1972-02-01,unemploy,4928.0,0.1770742875187495,Past,1972,2,23666
2353,1972-03-01,unemploy,5038.0,0.18575826951922317,Past,1972,3,23667
2354,1972-04-01,unemploy,4959.0,0.17952159153706482,Past,1972,4,23668
2355,1972-05-01,unemploy,4922.0,0.17660061577326913,Past,1972,5,23669
2356,1972-06-01,unemploy,4923.0,0.17667956106418253,Past,1972,6,23670
2357,1972-07-01,unemploy,4913.0,0.17589010815504855,Past,1972,7,23671
2358,1972-08-01,unemploy,4939.0,0.17794268571879687,Past,1972,8,23672
2359,1972-09-01,unemploy,4849.0,0.17083760953659113,Past,1972,9,23673
2360,1972-10-01,unemploy,4875.0,0.17289018710033946,Past,1972,10,23674
2361,1972-11-01,unemploy,4602.0,0.15133812268098207,Past,1972,11,23675
2362,1972-12-01,unemploy,4543.0,0.14668035051709166,Past,1972,12,23676
2363,1973-01-01,unemploy,4326.0,0.1295492223888845,Past,1973,1,23677
2364,1973-02-01,unemploy,4452.0,0.13949632904397252,Past,1973,2,23678
2365,1973-03-01,unemploy,4394.0,0.1349175021709955,Past,1973,3,23679
2366,1973-04-01,unemploy,4459.0,0.1400489460803663,Past,1973,4,23680
2367,1973-05-01,unemploy,4329.0,0.1297860582616247,Past,1973,5,23681
2368,1973-06-01,unemploy,4363.0,0.13247019815268019,Past,1973,6,23682
2369,1973-07-01,unemploy,4305.0,0.12789137127970315,Past,1973,7,23683
2370,1973-08-01,unemploy,4305.0,0.12789137127970315,Past,1973,8,23684
2371,1973-09-01,unemploy,4350.0,0.13144390937080602,Past,1973,9,23685
2372,1973-10-01,unemploy,4144.0,0.11518117944264625,Past,1973,10,23686
2373,1973-11-01,unemploy,4396.0,0.1350753927528223,Past,1973,11,23687
2374,1973-12-01,unemploy,4489.0,0.1424173048077682,Past,1973,12,23688
2375,1974-01-01,unemploy,4644.0,0.15465382489934476,Past,1974,1,23689
2376,1974-02-01,unemploy,4731.0,0.1615220652088103,Past,1974,2,23690
2377,1974-03-01,unemploy,4634.0,0.15386437199021077,Past,1974,3,23691
2378,1974-04-01,unemploy,4618.0,0.15260124733559643,Past,1974,4,23692
2379,1974-05-01,unemploy,4705.0,0.15946948764506197,Past,1974,5,23693
2380,1974-06-01,unemploy,4927.0,0.1769953422278361,Past,1974,6,23694
2381,1974-07-01,unemploy,5063.0,0.1877319017920581,Past,1974,7,23695
2382,1974-08-01,unemploy,5022.0,0.18449514486460883,Past,1974,8,23696
2383,1974-09-01,unemploy,5437.0,0.21725744059366858,Past,1974,9,23697
2384,1974-10-01,unemploy,5523.0,0.22404673561222074,Past,1974,10,23698
2385,1974-11-01,unemploy,6140.0,0.27275598010578667,Past,1974,11,23699
2386,1974-12-01,unemploy,6636.0,0.3119128443988316,Past,1974,12,23700
2387,1975-01-01,unemploy,7501.0,0.38020052103892005,Past,1975,1,23701
2388,1975-02-01,unemploy,7520.0,0.38170048156627456,Past,1975,2,23702
2389,1975-03-01,unemploy,7978.0,0.4178574248046104,Past,1975,3,23703
2390,1975-04-01,unemploy,8210.0,0.43617273229651854,Past,1975,4,23704
2391,1975-05-01,unemploy,8433.0,0.45377753217020605,Past,1975,5,23705
2392,1975-06-01,unemploy,8220.0,0.4369621852056525,Past,1975,6,23706
2393,1975-07-01,unemploy,8127.0,0.42962027315070656,Past,1975,7,23707
2394,1975-08-01,unemploy,7928.0,0.41391016025894056,Past,1975,8,23708
2395,1975-09-01,unemploy,7923.0,0.41351543380437356,Past,1975,9,23709
2396,1975-10-01,unemploy,7897.0,0.41146285624062523,Past,1975,10,23710
2397,1975-11-01,unemploy,7794.0,0.40333149127654533,Past,1975,11,23711
2398,1975-12-01,unemploy,7744.0,0.3993842267308755,Past,1975,12,23712
2399,1976-01-01,unemploy,7534.0,0.3828057156390621,Past,1976,1,23713
2400,1976-02-01,unemploy,7326.0,0.3663850951290756,Past,1976,2,23714
2401,1976-03-01,unemploy,7230.0,0.35880634720138943,Past,1976,3,23715
2402,1976-04-01,unemploy,7330.0,0.3667008762927291,Past,1976,4,23716
2403,1976-05-01,unemploy,7053.0,0.34483303070971816,Past,1976,5,23717
2404,1976-06-01,unemploy,7322.0,0.36606931396542197,Past,1976,6,23718
2405,1976-07-01,unemploy,7490.0,0.3793321228388727,Past,1976,7,23719
2406,1976-08-01,unemploy,7518.0,0.38154259098444776,Past,1976,8,23720
2407,1976-09-01,unemploy,7380.0,0.370648140838399,Past,1976,9,23721
2408,1976-10-01,unemploy,7430.0,0.3745954053840688,Past,1976,10,23722
2409,1976-11-01,unemploy,7620.0,0.38959501065761426,Past,1976,11,23723
2410,1976-12-01,unemploy,7545.0,0.3836741138391095,Past,1976,12,23724
2411,1977-01-01,unemploy,7280.0,0.3627536117470593,Past,1977,1,23725
2412,1977-02-01,unemploy,7443.0,0.375621694165943,Past,1977,2,23726
2413,1977-03-01,unemploy,7307.0,0.364885134601721,Past,1977,3,23727
2414,1977-04-01,unemploy,7059.0,0.34530670245519857,Past,1977,4,23728
2415,1977-05-01,unemploy,6911.0,0.33362279940001577,Past,1977,5,23729
2416,1977-06-01,unemploy,7134.0,0.35122759927370334,Past,1977,6,23730
2417,1977-07-01,unemploy,6829.0,0.32714928554511724,Past,1977,7,23731
2418,1977-08-01,unemploy,6925.0,0.33472803347280333,Past,1977,8,23732
2419,1977-09-01,unemploy,6751.0,0.32099155285387226,Past,1977,9,23733
2420,1977-10-01,unemploy,6763.0,0.321938896344833,Past,1977,10,23734
